date,seed,model,h1,rv_h1
2024-04-30,99,LSTM,12.897328864560038,13.43938302996639
2024-08-31,42,LSTM,18.324163765920204,19.108613176196897
2024-08-31,7,LSTM,18.222294500947996,19.108613176196897
2024-08-31,123,LSTM,18.873126782830447,19.108613176196897
2024-08-31,2024,LSTM,18.25721934644824,19.108613176196897
2024-08-31,99,LSTM,18.5946778296636,19.108613176196897
2024-12-31,42,LSTM,15.293688376941498,14.385703780869497
2024-12-31,7,LSTM,14.998229154055766,14.385703780869497
2024-12-31,123,LSTM,14.955524192255675,14.385703780869497
2024-12-31,2024,LSTM,15.28506799605563,14.385703780869497
2024-12-31,99,LSTM,14.5476258447888,14.385703780869497
2025-04-30,42,LSTM,46.74877200545408,51.97277720014856
2025-04-30,7,LSTM,44.10292487908904,51.97277720014856
2025-04-30,123,LSTM,46.72445796753313,51.97277720014856
2025-04-30,2024,LSTM,42.96278380479518,51.97277720014856
2025-04-30,99,LSTM,46.53311474468316,51.97277720014856
2025-08-31,42,LSTM,11.232481735457608,10.622757397427389
2025-08-31,7,LSTM,12.098878150290595,10.622757397427389
2025-08-31,123,LSTM,10.992636367457967,10.622757397427389
2025-08-31,2024,LSTM,11.01295865371376,10.622757397427389
2025-08-31,99,LSTM,11.655131010145436,10.622757397427389
2017-12-31,42,Random Forest,5.984802459434816,5.820113387944522
2017-12-31,7,Random Forest,5.961972313631611,5.820113387944522
2017-12-31,123,Random Forest,6.000023322613082,5.820113387944522
2017-12-31,2024,Random Forest,6.0359584297069535,5.820113387944522
2017-12-31,99,Random Forest,5.9645825096111,5.820113387944522
2018-04-30,42,Random Forest,17.189665243101366,15.153431126085556
2018-04-30,7,Random Forest,17.0905304258046,15.153431126085556
2018-04-30,123,Random Forest,17.042252748723804,15.153431126085556
2018-04-30,2024,Random Forest,17.024180616688543,15.153431126085556
2018-04-30,99,Random Forest,17.104644529786185,15.153431126085556
2018-08-31,42,Random Forest,7.11634246687176,7.060597869729329
2018-08-31,7,Random Forest,7.067184033603106,7.060597869729329
2018-08-31,123,Random Forest,7.150295918720061,7.060597869729329
2018-08-31,2024,Random Forest,7.132318846385497,7.060597869729329
2018-08-31,99,Random Forest,7.100333886980511,7.060597869729329
2018-12-31,42,Random Forest,28.929157553087116,28.585397078502773
2018-12-31,7,Random Forest,29.01705257814093,28.585397078502773
2018-12-31,123,Random Forest,28.932558511155975,28.585397078502773
2018-12-31,2024,Random Forest,29.14555172085965,28.585397078502773
2018-12-31,99,Random Forest,28.947603063557853,28.585397078502773
2019-04-30,42,Random Forest,6.413144569257037,5.885297721255098
2019-04-30,7,Random Forest,6.402769693470341,5.885297721255098
2019-04-30,123,Random Forest,6.419549727808128,5.885297721255098
2019-04-30,2024,Random Forest,6.364295278875396,5.885297721255098
2019-04-30,99,Random Forest,6.3781681020669625,5.885297721255098
2019-08-31,42,Random Forest,23.431991075260107,23.508795569343405
2019-08-31,7,Random Forest,23.41925913603281,23.508795569343405
2019-08-31,123,Random Forest,23.39864003964106,23.508795569343405
2019-08-31,2024,Random Forest,23.45521872381198,23.508795569343405
2019-08-31,99,Random Forest,23.470717189570664,23.508795569343405
2019-12-31,42,Random Forest,7.610740068545778,7.06215737078676
2019-12-31,7,Random Forest,7.6136805645812045,7.06215737078676
2019-12-31,123,Random Forest,7.609198534939208,7.06215737078676
2019-12-31,2024,Random Forest,7.609993680827196,7.06215737078676
2019-12-31,99,Random Forest,7.604746723146113,7.06215737078676
2020-04-30,42,Random Forest,40.46758512506481,37.441893812961915
2020-04-30,7,Random Forest,40.201623340852244,37.441893812961915
2020-04-30,123,Random Forest,40.272499268916306,37.441893812961915
2020-04-30,2024,Random Forest,39.90885771532234,37.441893812961915
2020-04-30,99,Random Forest,40.26175256526982,37.441893812961915
2020-08-31,42,Random Forest,8.236077015927506,8.346642738623656
2020-08-31,7,Random Forest,8.321967845011773,8.346642738623656
2020-08-31,123,Random Forest,8.262620755782308,8.346642738623656
2020-08-31,2024,Random Forest,8.222939597892546,8.346642738623656
2020-08-31,99,Random Forest,8.225469239434132,8.346642738623656
2020-12-31,42,Random Forest,8.335305894671503,9.647546295612331
2020-12-31,7,Random Forest,8.328164109535733,9.647546295612331
2020-12-31,123,Random Forest,8.291794177056248,9.647546295612331
2020-12-31,2024,Random Forest,8.322297406932423,9.647546295612331
2020-12-31,99,Random Forest,8.338221697743965,9.647546295612331
2021-04-30,42,Random Forest,10.24123421333757,10.027328778508734
2021-04-30,7,Random Forest,10.24359815581963,10.027328778508734
2021-04-30,123,Random Forest,10.24790853736847,10.027328778508734
2021-04-30,2024,Random Forest,10.245112562697033,10.027328778508734
2021-04-30,99,Random Forest,10.234825070474614,10.027328778508734
2021-08-31,42,Random Forest,8.367480257299956,8.056833953393419
2021-08-31,7,Random Forest,8.355947368449517,8.056833953393419
2021-08-31,123,Random Forest,8.358124802093892,8.056833953393419
2021-08-31,2024,Random Forest,8.350622962328243,8.056833953393419
2021-08-31,99,Random Forest,8.358557486852996,8.056833953393419
2021-12-31,42,Random Forest,16.677955762044874,16.02770736312624
2021-12-31,7,Random Forest,16.743739695805825,16.02770736312624
2021-12-31,123,Random Forest,16.667261605659462,16.02770736312624
2021-12-31,2024,Random Forest,16.795423356359684,16.02770736312624
2021-12-31,99,Random Forest,16.75879597919136,16.02770736312624
2022-04-30,42,Random Forest,23.728847910160216,24.750882358713177
2022-04-30,7,Random Forest,23.793130327947214,24.750882358713177
2022-04-30,123,Random Forest,23.67358313891129,24.750882358713177
2022-04-30,2024,Random Forest,23.926455461348247,24.750882358713177
2022-04-30,99,Random Forest,23.770923095754664,24.750882358713177
2022-08-31,42,Random Forest,20.53960031156371,19.37189765178452
2022-08-31,7,Random Forest,20.532788240971634,19.37189765178452
2022-08-31,123,Random Forest,20.586520999690805,19.37189765178452
2022-08-31,2024,Random Forest,20.557519935884983,19.37189765178452
2022-08-31,99,Random Forest,20.458494880098257,19.37189765178452
2022-12-31,42,Random Forest,19.128443595295703,18.030056859815588
2022-12-31,7,Random Forest,19.17183093567544,18.030056859815588
2022-12-31,123,Random Forest,19.336874594257143,18.030056859815588
2022-12-31,2024,Random Forest,19.23296043238227,18.030056859815588
2022-12-31,99,Random Forest,19.235899144989112,18.030056859815588
2023-04-30,42,Random Forest,12.48782936833602,12.30885840336378
2023-04-30,7,Random Forest,12.51410530966598,12.30885840336378
2023-04-30,123,Random Forest,12.54325842451987,12.30885840336378
2023-04-30,2024,Random Forest,12.623349334968708,12.30885840336378
2023-04-30,99,Random Forest,12.546772880159649,12.30885840336378
2023-08-31,42,Random Forest,12.219992981943761,11.903051855298784
2023-08-31,7,Random Forest,12.253713013535846,11.903051855298784
2023-08-31,123,Random Forest,12.229274074396711,11.903051855298784
2023-08-31,2024,Random Forest,12.242938626798907,11.903051855298784
2023-08-31,99,Random Forest,12.211432741368643,11.903051855298784
2023-12-31,42,Random Forest,9.265065284516972,9.629718260895311
2023-12-31,7,Random Forest,9.234734228300631,9.629718260895311
2023-12-31,123,Random Forest,9.211689507272123,9.629718260895311
2023-12-31,2024,Random Forest,9.206671487780074,9.629718260895311
2023-12-31,99,Random Forest,9.21422599224624,9.629718260895311
2024-04-30,42,Random Forest,13.098781742812836,13.43938302996639
2024-04-30,7,Random Forest,13.12642811600026,13.43938302996639
2024-04-30,123,Random Forest,13.140157264110854,13.43938302996639
